id,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
67,15699225,619,Germany,Male,37,3,142643.54,1,1,0,110454.46,0
68,15787550,583,Spain,Female,31,7,0,2,1,1,134460.62,0
69,15784844,683,France,Male,25,9,0,2,1,0,82634.41,0
70,15789412,850,France,Female,32,6,0,2,1,1,154460.68,0
71,15662501,633,Spain,Female,32,7,141136.62,1,0,0,134794.02,1
72,15779985,573,France,Female,39,7,0,2,0,0,180932.46,0
73,15807595,721,France,Female,26,4,136659.74,1,0,0,158973.77,0
74,15812184,553,Spain,Male,38,5,0,2,1,0,56784.11,0
75,15723654,635,France,Female,35,3,0,1,1,1,148814.54,0
76,15725094,642,France,Female,36,6,0,1,1,1,121789.3,0
77,15777923,678,France,Female,32,8,0,2,0,1,182336.45,0
78,15752508,495,France,Female,31,7,0,1,1,1,40315.27,0
79,15776345,603,Spain,Male,37,6,88011.4,2,1,0,155700.15,0
81,15771742,595,France,Male,35,2,0,2,1,0,95500.17,0
82,15582910,671,France,Male,32,2,0,2,1,1,144517.17,0
83,15781598,676,France,Female,39,3,0,2,1,0,55470.78,0
84,15693376,732,France,Male,34,0,0,2,1,0,167984.72,0
85,15725776,632,France,Female,37,2,125710.53,1,0,1,160948.87,0
86,15648067,708,France,Female,40,6,0,2,1,1,101397.86,0
87,15709476,684,Germany,Male,40,6,122570.87,2,0,0,171037.63,0
88,15803378,627,Spain,Male,33,1,0,2,1,0,93783,0
89,15793813,642,Germany,Female,39,7,154483.98,1,0,0,100862.36,1
90,15751185,710,France,Female,37,8,0,2,1,1,145551.6,0
91,15777797,562,Germany,Male,48,6,132351.29,1,1,1,160129.99,1
92,15751084,761,Spain,Female,36,0,0,2,1,1,60721.4,0
93,15779481,711,Spain,Male,61,9,0,1,1,0,26265.18,1
95,15575060,652,Spain,Male,41,5,0,2,0,0,160532.88,0
98,15766355,769,Germany,Female,30,8,153895.86,2,1,1,167682.37,0
99,15597909,850,France,Female,46,2,0,2,1,0,48189.94,0
100,15772381,663,Spain,Male,40,4,94762.16,2,1,0,64350.8,0
101,15703588,643,France,Female,43,3,85845.43,1,0,0,102260.16,0
102,15709531,577,France,Male,38,3,137963.8,1,1,1,166516.84,0
103,15757829,569,France,Male,40,7,0,2,1,1,151325.24,0
104,15654074,598,France,Female,43,8,0,2,0,0,60420.07,0
105,15613180,684,Germany,Male,60,6,95947.76,1,1,0,74849.74,1
106,15814022,679,Spain,Male,37,6,0,2,1,1,81884.8,0
108,15733476,717,France,Male,39,3,122314.5,1,0,0,175399.14,0
109,15784092,588,Spain,Female,52,4,0,3,0,1,166650.32,1
111,15721937,648,Germany,Male,44,2,97440.02,1,1,0,66810.48,0
112,15739692,714,Spain,Male,35,1,120599.38,2,1,1,172601.62,0
113,15571081,589,Spain,Male,33,3,0,2,0,0,160129.99,0
115,15750769,611,Germany,Female,36,6,144768.94,2,1,1,103931.57,0
116,15702464,674,France,Male,30,6,0,2,0,0,164038.07,0
117,15737571,704,Spain,Male,32,8,132558.26,1,1,0,101694.67,0
118,15665077,577,Spain,Male,67,6,0,2,1,1,91711.66,0
120,15632344,633,France,Male,46,5,0,1,1,0,54949.73,1
121,15698839,722,France,Male,37,2,0,2,1,1,167984.72,0
122,15807433,705,France,Male,36,7,0,2,1,1,79547.39,0
123,15732643,716,Spain,Male,42,9,0,2,1,0,192809.2,1
124,15690440,644,France,Male,25,6,0,2,1,0,95941.55,0
125,15655229,583,France,Male,38,8,0,2,1,1,145789.71,0
126,15641640,575,France,Male,58,5,0,1,1,0,67840.81,1
128,15702361,562,France,Female,37,9,0,2,0,0,172576.43,0
129,15791842,629,France,Male,31,9,0,2,1,1,136329.96,0
130,15682541,673,France,Male,34,8,134593.79,1,1,1,112973.33,0
131,15769254,715,France,Male,40,8,0,2,1,1,90877.76,0
132,15674573,754,Spain,Male,37,4,0,2,1,1,95551.22,0
133,15634373,705,France,Male,37,4,121827.43,1,1,0,55775.72,0
134,15696733,691,Spain,Male,38,4,0,2,1,0,92664.09,0
135,15709861,592,France,Female,51,8,0,2,0,0,121408.55,1
136,15786680,668,France,Female,32,5,104508.1,1,1,1,48988.28,0
137,15778915,670,Germany,Female,40,7,137318.42,1,1,1,124625.08,0
138,15576077,667,France,Male,38,4,0,2,1,0,132973.21,0
139,15591257,627,France,Male,51,5,0,1,0,0,74532.04,1
140,15800856,588,France,Male,31,3,0,2,1,1,76637.38,0
141,15741745,579,France,Male,43,2,116937.73,1,1,0,115227.02,1
142,15806360,599,France,Female,39,2,0,2,1,0,170968.99,0
143,15807593,539,France,Male,34,1,0,2,1,0,172526.9,0
144,15761477,669,France,Female,59,5,0,1,1,0,175722.69,1
145,15723858,659,Germany,Female,55,4,146566.01,1,1,1,88659.44,1
146,15705544,556,Spain,Male,34,7,0,1,0,0,103940.57,0
147,15603883,635,France,Female,40,2,169312.72,2,1,1,178038.17,1
148,15679909,769,France,Male,31,2,0,2,1,1,134901.57,0
149,15662533,575,France,Male,34,4,0,2,1,0,172668.39,0
150,15689328,758,Spain,Female,30,4,0,1,1,1,141023.01,0
151,15733261,575,France,Male,32,7,0,1,1,1,134901.57,0
152,15749019,677,Spain,Male,37,1,0,2,1,0,183490.99,0
153,15807433,638,France,Male,31,9,0,2,1,1,177783.04,0
154,15628298,667,France,Female,36,10,107784.65,2,1,1,71159.84,0
155,15585350,599,France,Male,44,10,0,2,1,1,144870.28,0
156,15720583,727,Spain,Male,26,6,109730.22,1,1,1,29358.57,0
157,15682527,624,France,Male,44,5,0,1,1,0,152290.28,0
159,15685476,638,France,Male,36,10,0,1,1,0,158610.89,0
160,15607988,696,Germany,Female,42,3,98792.4,2,0,0,106937.06,0
161,15752626,753,France,Female,37,8,102773.2,1,1,1,118914.64,0
162,15675896,745,France,Male,23,3,0,1,1,0,126995.17,0
163,15663312,567,Spain,Female,42,7,0,2,1,0,112256.27,1
164,15571917,535,Germany,Female,42,5,132934.89,2,0,0,174431.01,1
165,15573319,681,France,Male,43,9,98752.51,1,0,1,84467.62,0
167,15732774,740,Spain,Female,32,5,0,2,1,1,56865.62,0
168,15641575,757,France,Male,42,3,0,2,0,0,52876.41,0
169,15625698,554,Spain,Male,34,1,124695.72,1,1,0,57553.98,0
170,15662488,723,France,Female,45,4,0,1,1,0,182495.7,1
171,15680370,476,France,Female,63,5,0,2,1,1,138380.11,0
172,15778290,683,France,Female,44,1,97530.25,1,1,1,178256.58,1
173,15774507,583,France,Female,47,9,120825.7,1,1,0,47847.19,0
174,15719561,663,Spain,Male,24,7,0,2,1,0,93073.04,0
175,15715888,707,Spain,Female,42,1,145984.02,1,1,0,141083.8,1
176,15662488,586,France,Female,49,7,0,1,1,0,183494.87,1
177,15690763,730,France,Female,36,5,0,2,0,1,86022.09,0
178,15643024,583,France,Female,29,4,0,1,1,1,85890.75,0
180,15763980,754,Spain,Male,33,3,77846.9,1,1,1,108872.45,0
182,15805260,724,France,Female,58,4,0,2,1,1,53581.14,0
183,15664547,516,Germany,Male,37,1,94464.81,1,1,1,147964.99,0
184,15663885,569,France,Male,33,5,116483.32,1,1,0,49653.37,0
185,15670080,542,France,Female,31,3,0,2,1,1,88842.8,0
186,15681755,807,France,Female,40,9,161807.18,1,0,0,148087.62,1
187,15578073,684,France,Female,24,3,125685.79,1,1,1,131753.97,0
188,15571221,714,France,Male,26,9,0,2,1,1,89048.46,0
189,15790324,701,France,Male,31,2,0,2,1,1,118027.79,0
190,15595738,613,Spain,Male,40,7,0,2,0,0,170821.43,0
191,15693926,720,Spain,Male,42,7,0,2,1,0,120852.85,0
192,15808526,790,France,Female,45,9,152039.6,1,0,1,171070.44,1
193,15790448,590,France,Male,32,4,0,2,1,1,163550.58,0
194,15795511,638,France,Female,46,4,0,2,1,0,86767.48,0
195,15732672,697,Germany,Female,63,1,131078.43,1,1,1,131211.53,1
196,15693349,707,France,Female,37,2,0,1,1,0,132418.59,0
198,15730673,664,Spain,Female,33,5,0,2,1,1,126728.27,0
199,15781689,590,France,Male,40,2,0,2,0,1,141501.45,0
200,15763613,587,Germany,Male,56,3,114422.85,1,1,0,173989.47,1
201,15697497,572,Spain,Male,23,9,89015.61,1,0,0,132801.57,0
202,15809909,743,France,Male,56,4,0,1,1,0,169921.11,1
203,15652667,633,Spain,Male,42,5,0,2,1,1,86622.42,0
204,15809842,733,Germany,Male,55,8,123042,1,1,1,91573.19,1
206,15675450,537,France,Female,27,7,142705.95,1,0,0,121408.06,0
207,15588928,646,Germany,Male,42,7,103138.17,1,1,0,165614.4,1
208,15609913,685,Spain,Male,49,4,0,2,1,1,1364.54,0
209,15771570,624,France,Female,47,6,0,1,1,0,131301.74,1
211,15692226,588,France,Male,31,1,0,2,0,1,56905.38,0
212,15627395,678,Spain,Female,29,6,0,2,0,1,141501.45,0
213,15720353,714,France,Male,40,8,0,1,1,0,101694.67,0
214,15777573,711,France,Female,33,7,0,2,0,1,159830.58,0
215,15679963,704,France,Female,47,2,0,1,1,1,103792.53,0
216,15584776,671,Spain,Male,41,2,0,1,1,0,94820.85,0
217,15773876,652,Spain,Male,42,4,0,2,1,1,180712.52,0
218,15693690,593,France,Male,43,7,0,3,1,0,523,1
219,15681332,637,France,Female,26,8,0,2,0,1,160523.66,0
220,15806511,741,France,Female,36,7,0,2,1,1,178752.73,0
221,15651802,719,France,Female,38,10,115888.04,1,1,0,160574.09,0
222,15789936,704,Spain,Female,34,5,0,2,1,0,1099.95,0
225,15775335,652,Spain,Female,32,4,0,2,1,1,88372.78,0
226,15724444,556,France,Male,31,5,0,2,0,1,140723.05,0
227,15625941,686,France,Female,32,2,110928.52,1,1,1,133535.99,0
228,15620398,640,France,Male,40,3,108724.98,2,1,0,132436.71,0
229,15685828,695,France,Female,31,10,0,1,1,0,184564.67,0
230,15601012,558,Germany,Female,52,1,106005.54,2,1,0,149536.15,1
231,15721181,707,Spain,Female,61,3,61691.19,1,1,0,132953.94,1
232,15647842,759,France,Female,42,3,0,2,1,0,129562.04,0
233,15661827,744,France,Female,56,2,0,1,0,0,131473.31,1
234,15719090,635,Spain,Male,28,6,0,2,1,0,86981.45,0
235,15650488,535,Spain,Female,43,8,136658.61,2,1,1,102799.14,0
236,15672892,594,Spain,Female,36,8,0,2,1,0,86950.72,0
237,15651264,711,Germany,Female,71,4,148051.81,1,1,1,107964.36,0
238,15705906,543,Spain,Male,37,9,0,1,1,0,141558.04,0
239,15790299,619,France,Male,20,7,0,2,0,0,108429.82,0
240,15588560,573,France,Male,32,3,0,1,1,0,120531.31,1
241,15587573,850,France,Male,49,6,0,1,1,0,177784.68,1
242,15603674,631,France,Male,39,2,0,2,1,0,55868.97,0
243,15637366,668,France,Female,35,4,137853,1,1,1,167694.07,0
244,15777045,683,France,Male,31,7,0,2,1,0,134889.95,0
245,15570194,677,France,Female,46,2,0,3,1,0,187776.88,1
247,15605327,577,France,Male,42,3,119027.28,1,1,0,27359.19,0
248,15661473,650,France,Male,34,8,0,1,1,0,57929.9,0
249,15663921,706,Spain,Male,40,9,117035.89,1,1,0,146637.45,0
250,15646720,648,Spain,Male,26,10,0,2,1,0,79919.13,0
251,15640034,586,Spain,Male,33,4,0,2,1,1,65801.44,0
252,15581286,693,France,Male,30,8,97565.74,2,1,0,93550.47,0
253,15732984,466,France,Female,39,9,0,2,1,1,84760.32,0
255,15576094,531,France,Female,50,1,0,1,1,0,67431.36,1
256,15635240,681,France,Male,39,6,0,2,1,0,63795.8,0
258,15740356,769,France,Female,27,9,0,2,0,0,73464.88,0
259,15581620,597,Spain,Male,28,8,0,2,1,1,107841.77,0
261,15659234,637,France,Male,30,4,0,2,1,1,61977.82,0
262,15641655,695,Germany,Female,44,10,108286.5,1,0,1,91943.94,0
264,15610930,585,France,Male,28,2,0,2,1,1,90905.26,0
265,15589320,758,Spain,Female,21,8,0,2,1,1,122925.4,0
266,15653952,641,France,Male,38,6,0,2,0,0,152210.81,0
267,15659736,712,Germany,Male,35,2,97460.1,2,1,0,164741.8,0
268,15585047,729,Spain,Female,31,5,0,2,1,0,121175.86,0
269,15811690,751,France,Female,28,2,0,2,1,1,183387.12,0
270,15589428,703,France,Male,33,1,0,2,1,1,164018.98,0
271,15761132,603,France,Male,34,4,0,2,1,0,105732.9,0
272,15719265,717,France,Female,40,1,0,2,1,1,130862.11,0
273,15783883,686,Spain,Female,59,6,109730.22,1,1,1,52301.15,0
274,15775335,678,France,Male,32,9,100913.57,1,1,1,84871.99,0
275,15668830,684,Spain,Male,43,6,0,2,0,0,82872.64,0
276,15773934,644,France,Male,38,9,153610.61,1,1,1,181718.73,0
277,15632264,607,France,Male,36,8,152303.66,1,1,0,174434.06,0
278,15652981,781,Germany,Female,30,4,133801.49,1,0,1,65986.48,1
279,15690695,598,France,Male,29,5,120822.86,1,1,0,137961.41,1
280,15729246,489,France,Female,55,6,0,1,1,0,126812.63,0
281,15734005,644,France,Female,35,6,145978.23,1,1,1,113943.18,0
282,15798532,757,France,Female,33,4,0,2,1,0,123587.85,0
283,15596713,724,Spain,Male,33,4,0,2,1,1,133050.97,0
285,15664523,658,Germany,Female,36,7,129895.19,1,1,0,108731.02,0
286,15604732,652,France,Male,46,7,0,1,1,0,166031.08,1
287,15718773,764,France,Male,34,2,133723.43,1,0,0,123715.83,0
288,15632010,648,France,Female,40,5,0,2,1,0,74532.02,0
289,15718507,717,France,Female,39,4,0,2,1,1,151167.94,0
290,15728505,706,France,Male,37,6,0,2,0,1,72849.29,0
291,15603674,639,Germany,Female,31,5,107553.33,1,1,1,187985.85,1
293,15777904,724,Spain,Male,37,1,0,2,1,1,50783.1,0
294,15756472,638,Germany,Male,53,6,97565.74,1,1,1,172501.38,0
295,15775124,667,France,Male,44,6,0,2,1,0,53412.54,1
296,15796834,743,France,Male,35,8,0,2,1,0,122433.09,0
297,15693326,751,Spain,Female,44,4,0,1,1,0,139431,0
298,15661745,707,Spain,Female,31,8,0,2,1,1,79919.13,0
299,15754574,671,Germany,Male,26,3,96693.66,1,1,0,187816.59,0
300,15591607,613,France,Female,38,5,0,2,0,0,172852.06,0
301,15613673,682,Germany,Female,48,3,116880.53,1,1,1,120790.02,1
302,15658889,663,Spain,Female,40,5,181671.16,1,1,1,111241.37,0
303,15794873,607,Spain,Female,47,5,128876.95,2,1,0,183569.25,1
304,15791769,543,France,Female,44,6,121159.65,1,0,1,131259.6,0
305,15617206,582,France,Male,34,2,0,2,1,0,35600.25,0
306,15748696,614,France,Male,34,0,141581.08,1,1,0,141364.62,0
307,15754926,749,France,Male,35,3,117731.79,1,1,1,161653.5,0
309,15585961,697,Spain,Female,42,4,0,2,1,0,169161.46,0
310,15746333,774,France,Male,44,9,0,2,1,0,58469.75,0
311,15662501,678,Germany,Male,37,1,142645.43,1,1,1,63732.9,0
312,15750549,749,France,Female,62,9,0,1,1,0,96985.58,1
313,15763747,543,France,Female,39,2,0,1,1,0,176943.59,1
314,15597933,689,France,Male,31,2,0,2,1,1,141180.66,0
315,15647782,645,France,Female,32,4,0,2,0,1,85522.84,0
316,15686913,589,France,Male,32,8,97764.41,1,0,1,145558.42,0
317,15703923,573,France,Male,38,5,0,2,1,0,139048,0
318,15631389,662,France,Female,40,7,0,2,0,0,151317.27,0
319,15654760,712,France,Female,37,2,0,2,0,1,173365.89,0
320,15607988,678,Germany,Female,50,5,127305.5,1,0,1,121562.33,0
321,15783097,692,France,Male,42,3,0,2,1,1,144880.81,0
322,15723481,729,Spain,Male,43,3,0,2,0,0,102298.59,0
323,15675185,762,France,Male,46,3,112940.07,1,1,1,170515.21,0
324,15656937,762,Germany,Male,47,9,126679.69,1,1,0,101168.9,1
325,15677512,706,France,Female,50,6,0,2,1,1,52861.89,0
326,15643657,682,France,Male,42,9,0,1,1,1,62368.33,1
327,15654489,712,France,Male,29,5,0,2,1,1,57962.41,0
328,15796074,679,France,Male,34,7,0,2,1,0,168886.29,0
329,15743076,678,France,Male,32,1,171137.62,1,1,1,66548.58,0
330,15588854,594,Spain,Female,35,0,0,2,1,0,4497.55,0
331,15622454,637,Spain,Female,28,7,0,2,0,1,136985.08,0
332,15730759,632,Spain,Male,43,2,0,2,0,1,89566.64,0
333,15691823,682,France,Male,39,7,0,2,1,1,51703.09,0
334,15741875,637,France,Male,35,6,0,2,1,0,152872.39,0
335,15790658,717,Germany,Female,43,3,98955.87,1,1,0,161954.43,1
336,15799932,548,Spain,Male,38,6,0,1,0,0,138399.67,1
337,15752508,736,Germany,Female,40,8,97764.41,2,0,1,47764.99,0
338,15793046,531,France,Female,32,7,0,2,1,1,52301.15,0
339,15648032,659,France,Male,34,8,0,2,1,1,56784.11,0
340,15593094,682,France,Male,25,10,0,2,1,1,161579.85,0
341,15648967,603,Germany,Female,48,3,117723.25,1,1,0,57762,1
342,15757628,485,Germany,Male,38,2,145644.05,2,1,1,120892.85,0
343,15619932,673,Spain,Female,32,3,102773.2,1,1,0,134901.34,0
344,15707505,678,France,Male,31,8,0,2,1,1,181850.74,0
345,15715888,806,Germany,Male,38,9,123544,1,1,0,85891.02,1
346,15770185,710,France,Male,34,5,0,2,1,0,73977.23,0
348,15781598,592,France,Male,33,6,115265.11,1,1,1,90876.95,0
349,15669956,556,Spain,Female,43,2,123544,1,0,0,71159.84,1
351,15741554,548,Germany,Female,50,4,108736.52,2,1,0,171345.02,1
352,15632051,521,France,Female,35,6,0,1,1,0,141359.11,1
353,15742609,613,France,Male,21,0,0,1,0,0,88815.25,0
355,15777614,605,France,Male,30,8,0,2,1,0,124777.14,0
356,15689953,678,France,Female,42,3,126597.89,1,1,1,145764.4,0
357,15778290,717,France,Female,34,7,0,2,1,1,55725.04,0
358,15721592,659,France,Male,54,3,136081.79,3,1,0,175969.19,1
359,15749167,659,France,Female,40,5,106881.5,1,1,0,173948.3,1
360,15656096,634,Spain,Male,37,5,0,2,0,0,57588.71,0
362,15777639,850,France,Male,31,6,0,2,1,0,83679.46,0
363,15761763,703,France,Male,23,6,0,1,1,0,4195.84,0
365,15704771,838,Germany,Male,26,3,117035.89,1,1,1,122488.59,0
366,15602354,684,France,Male,31,4,0,2,1,0,51112.8,0
367,15575024,691,France,Male,28,10,84421.62,1,1,1,78744.84,0
368,15805909,599,France,Male,57,4,0,1,1,1,166588.76,0
369,15796468,657,Germany,Male,32,4,151421.28,2,1,0,88479.02,0
370,15760851,596,France,Female,37,1,0,2,1,0,121098.65,1
371,15804962,708,Germany,Male,37,5,131101.04,1,0,1,103970.58,0
372,15579714,684,France,Male,29,7,135927.06,1,0,1,88890.05,0
373,15779052,648,France,Male,32,7,0,2,1,0,90877.76,0
374,15643359,628,Germany,Female,54,7,118087.68,1,1,0,173870.39,1
375,15587596,579,Spain,Female,43,5,125921.37,1,1,0,153786.46,0
376,15684953,684,Spain,Male,67,6,156823.7,2,1,1,161465.21,0
377,15707962,645,Spain,Male,48,5,0,1,1,0,84870.23,1
378,15775104,683,France,Male,57,2,0,2,1,1,135088.58,0
379,15703437,539,Spain,Male,46,1,0,2,1,1,140937.91,0
380,15580146,709,Germany,Female,37,3,91070.37,2,0,0,128837.18,0
381,15752507,584,France,Male,59,9,0,1,1,0,162515.17,1
383,15775192,615,France,Male,47,1,0,2,1,1,183566.78,0
384,15751561,703,Spain,Male,36,6,0,2,1,1,181270.84,0
385,15803415,697,France,Male,28,7,0,2,0,1,176883.42,0
386,15781210,564,Germany,Male,44,2,141558.58,2,0,0,167984.72,0
389,15762392,598,France,Male,27,2,0,1,1,0,162053.92,0
390,15794413,646,Germany,Male,37,5,153639.11,1,1,0,137961.41,1
391,15603562,521,Spain,Male,39,2,0,1,1,0,141210.5,0
392,15751180,758,Spain,Female,32,2,0,2,1,1,53353.36,0
393,15790750,521,Spain,Female,41,1,0,1,0,1,129980.93,0
394,15648858,586,France,Female,56,9,0,1,1,0,172501.38,1
395,15598982,842,France,Female,49,4,0,3,1,1,182988.94,1
396,15618258,729,Germany,Female,29,9,108738.98,2,1,1,126551.65,0
397,15656426,766,France,Female,52,4,0,2,0,1,151902.78,0
398,15579617,651,Germany,Male,30,2,94464.81,1,1,0,142377.69,1
399,15712584,721,Germany,Female,43,7,140733.74,1,0,0,180622.02,1
400,15710687,678,France,Male,23,8,0,1,1,0,170886.66,0
401,15595067,684,France,Male,43,6,0,4,1,0,161579.85,1
402,15683374,657,Spain,Male,34,1,0,2,1,0,115916.55,0
403,15684861,651,France,Male,38,2,0,2,0,1,125167.93,0
404,15636592,697,Germany,Male,33,5,102741.15,1,1,0,160532.88,0
405,15711750,645,France,Male,38,7,0,2,1,0,114066.77,0
406,15692991,604,Spain,Female,58,5,124446.88,1,1,1,54495.82,0
407,15665077,679,Germany,Male,36,3,79858.13,2,1,0,88890.05,0
408,15656029,717,Spain,Female,20,4,0,2,0,1,149503.54,0
409,15774854,655,France,Male,46,7,114959.12,1,1,0,8059.44,1
410,15784526,850,France,Male,24,7,124099.13,1,1,0,82900.25,0
411,15583392,765,France,Female,54,1,0,3,0,1,76515.79,1
412,15801488,733,Germany,Female,32,10,111578.18,1,1,1,49537.65,0
413,15723064,835,France,Female,35,9,0,2,1,0,61164.45,0
414,15707674,668,France,Female,29,1,0,2,1,0,137037.97,0
415,15653065,571,France,Female,38,2,0,2,1,1,129933.5,0
417,15689598,678,France,Male,33,1,125795.9,2,1,1,176902.83,0
418,15704769,746,France,Male,38,5,0,2,1,0,163830.64,0
419,15665678,619,Germany,Female,36,7,118894.22,1,0,1,161076.92,1
420,15596962,693,France,Male,36,10,97738.97,2,1,1,140723.09,0
421,15735263,693,France,Male,46,2,0,2,1,1,58017.46,0
422,15631838,597,Spain,Male,37,6,151963.26,1,1,1,51959.82,0
423,15674541,559,France,Male,32,7,122314.5,1,1,0,151336.96,0
424,15588923,681,France,Male,44,1,0,1,1,0,119666,1
425,15693902,656,France,Male,46,8,115462.02,1,1,0,121846.81,1
426,15750658,850,Spain,Male,33,5,0,2,1,1,126263.97,0
427,15770474,699,France,Male,35,8,0,2,0,1,103570.8,0
428,15641675,567,France,Male,39,5,0,2,1,1,164967.18,0
429,15813503,622,France,Female,48,8,0,2,1,0,146821.42,1
430,15757811,602,Spain,Male,39,9,0,2,1,0,138542.45,0
431,15747458,619,Spain,Male,38,2,116886.59,1,1,0,143665.44,0
433,15588903,593,France,Male,41,1,0,1,0,1,49374.82,0
434,15655171,699,France,Female,34,0,0,2,1,1,129964.94,0
435,15641136,590,France,Male,36,8,113672.18,1,1,1,64448.36,0
436,15681327,596,Spain,Female,26,8,0,2,1,1,109355.73,0
437,15686835,665,France,Male,35,4,0,2,1,1,177524.19,0
438,15603481,662,Germany,Female,42,5,136857,1,0,1,146041.45,1
439,15598097,699,Germany,Female,55,3,117989.79,3,1,0,148811.68,1
440,15571586,694,France,Female,35,3,81951.74,1,1,1,26752.56,0
441,15574072,656,Spain,Male,57,7,146580.69,1,1,1,142331.85,0
442,15621021,712,France,Female,32,9,0,2,1,0,138700.75,0
443,15589969,564,Germany,Female,37,8,137239.17,1,1,1,79479.74,0
444,15594720,643,Germany,Male,27,2,115084.53,1,1,1,73334.43,0
445,15751032,679,Spain,Male,35,1,80764.03,1,1,0,12761.16,0
446,15668893,588,Spain,Male,31,3,0,2,1,0,145578.26,0
447,15781665,633,France,Male,26,4,0,1,1,0,76544.9,0
448,15794323,583,France,Male,49,5,121801.72,1,1,1,176943.59,0
449,15670552,730,France,Female,27,3,0,2,1,0,91044.47,0
450,15656613,742,France,Female,52,2,0,3,0,1,171575.06,1
451,15747043,695,France,Male,35,3,0,2,1,0,182784.11,0
453,15589428,567,France,Female,37,4,0,2,1,0,168816.34,0
454,15621520,708,Spain,Female,37,6,0,2,0,1,103547.56,0
455,15782530,659,Spain,Female,38,7,149542.52,1,0,0,109638.78,1
